Prod_name,Prod_price,Prod_link,Prod_rate,Prod_review
Medium 30 L Laptop Backpack Backpack For College School...,335,https://www.flipkart.com/wrogn-backpack-college-school-travel-office-men-women-30-l/p/itmeda7c336e2df9?pid=BKPGZNTWCNP39EPS&lid=LSTBKPGZNTWCNP39EPSVWUOFF&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRb9B8OfjrJMtkyMMqEftiwCA-vN-BjSFtFuJKvzDrdA3Q%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,1108
Medium 23 L Backpack Laptop Backpack Causal Cross Body ...,399,https://www.flipkart.com/adamson-laptop-backpack-causal-cross-body-bag-23-l/p/itm095065ef55f40?pid=BKPGDPFF984YG8PB&lid=LSTBKPGDPFF984YG8PBNKCLL2&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGDPFF984YG8PB.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.2,0
Large 35 L Backpack Pixel Pro,455,https://www.flipkart.com/paul-london-pixel-pro-35-l-backpack/p/itmfdezn7e9ngjb2?pid=BKPFDDDT6U2B4GYU&lid=LSTBKPFDDDT6U2B4GYUPQVPDC&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFDDDT6U2B4GYU.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.3,482
Large 37 L Backpack Heritage - 3 Compartment Casual Tra...,899,https://www.flipkart.com/lunar-heritage-3-compartment-casual-travel-bagpack-college-school-bag-37-l-backpack/p/itm5912adc547e5e?pid=BKPFTBU76QWCUMGW&lid=LSTBKPFTBU76QWCUMGWPELDHZ&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPFTBU76QWCUMGW.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.1,199
Medium 23 L Backpack Stanza,737,https://www.flipkart.com/wildcraft-stanza-23-l-backpack/p/itmf7av5uzeg78g7?pid=BKPF7AV5YMKHYAAN&lid=LSTBKPF7AV5YMKHYAAN8SCJBL&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPF7AV5YMKHYAAN.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.4,1823
Small 20 L Backpack SMALL 20 L DAYPACK BAGPACK FOR DAIL...,1189,https://www.flipkart.com/plexy-small-20-l-daypack-bagpack-daily-purpose-backpack/p/itm376059978f3db?pid=BKPGHSBYJS9P7RT7&lid=LSTBKPGHSBYJS9P7RT7CRM73M&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRYjt2gQRhMg8wrsxsb8D_o64muN7J6wsxQtWTO-wJZVHQ%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.9,173
Large 45 L Laptop Backpack Heavy Duty Travel Backpack w...,335,https://www.flipkart.com/wrogn-heavy-duty-travel-backpack-rain-cover-45-l/p/itm0524c9ff5ef56?pid=BKPGPC7H83FXXEGY&lid=LSTBKPGPC7H83FXXEGYYGY0KR&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRZ3Op8ziwS480NfPPNvI_RYPxXlQ61j-g29z4j1GZKTrw%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,0
Large 35 L Backpack Squad Plus 02 Yellow,1699,https://www.flipkart.com/skybags-squad-plus-02-yellow-35-l-backpack/p/itmb0d52fa589456?pid=BKPGQ6BUNNAFJZXM&lid=LSTBKPGQ6BUNNAFJZXMT558IT&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGQ6BUNNAFJZXM.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,3.7,3
Large 35 L Backpack Premium Laptop Trolley Backpack Rol...,1739,https://www.flipkart.com/assembly-luggage-premium-laptop-trolley-backpack-roller-case-two-wheels-usb-charging-port-35-l/p/itm202a2fc6113d6?pid=BKPGB22TNRFWSMZJ&lid=LSTBKPGB22TNRFWSMZJDUQ83O&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPGB22TNRFWSMZJ.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4,23
SHINCHAN_HD_Casual Backpack|School Bag 35 L Backpack,2876,https://www.flipkart.com/shinchan-hd-casual-backpack-school-bag-35-l-backpack/p/itm0952cb1e69dcb?pid=XSPGN4TKXF49EHHG&lid=LSTXSPGN4TKXF49EHHGSDM3SK&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_SgyDTHwpAdSqcltSp1vZRf612AM1OEfFOcNdmgCPdRbL10jIuqB7kREH_yCWzEIl42VBWgNJjOdRmpWQ6zDB2A%3D%3D&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,0,0
Medium 30 L Backpack Faber,383,https://www.flipkart.com/wildcraft-faber-30-l-backpack/p/itmf7av5hmnku8qc?pid=BKPF7AV5GBJDEZF5&lid=LSTBKPF7AV5GBJDEZF5SQUFNC&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPF7AV5GBJDEZF5.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.4,675
Medium 30 L Backpack Seek,341,https://www.flipkart.com/wildcraft-seek-30-l-backpack/p/itmf7av5zz6fa5h9?pid=BKPF7AV5B4UVZJBQ&lid=LSTBKPF7AV5B4UVZJBQ6VN9NV&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=fa00b72b-e2ad-4cd5-81d6-07c32294e6c8.BKPF7AV5B4UVZJBQ.SEARCH&ppt=hp&ppn=homepage&ssid=ncuw9ar4xc0000001690536062170&qH=404e218d27fee49e,4.3,2715
